CompanyId,AsOfDate,SegmentName,SegmentDescription,SubIndustry
3IZBDS5MVU,2020-12-31,Substrates,"Substrates engages in the design, development, manufacture, and distribution of high-performance compound and single element semiconductor substrates.",3113001001
3IZBDS5MVU,2020-12-31,Raw Materials and Other,Raw Materials and Other pertains to the sale of raw materials integral to producing the substrate wafers.,3113001001
AX2S5G3YJ2,2024-12-31,Frozen & Vegetables,Frozen & Vegetables segment includes the Green Giant and Le Sueur brands.,2052504001
AX2S5G3YJ2,2024-12-31,Meals,"Meals segment includes, among others, the Ortega, Maple Grove Farms, Cream of Wheat, Las Palmas, Victoria, Mama Mary’s, Spring Tree, McCann’s, Carey’s and Vermont Maid brands.",2052504001
AX2S5G3YJ2,2024-12-31,Specialty,"Specialty segment includes, among others, the Crisco, Clabber Girl, Bear Creek, Polaner, Underwood, B&G, Grandma’s, New York Style, Don Pepino, Sclafani, B&M, Baker’s Joy, Regina, TrueNorth, Static Guard, SugarTwin and Brer Rabbit brands.",2052504001
AX2S5G3YJ2,2024-12-31,Spices & Flavor Solutions,"Spices & Flavor Solutions segment includes, among others, the Dash, Spice Islands, Weber, Ac’cent, Tone’s, Trappey’s, Durkee and Wright’s brands.",2052504001
PEOTNJNBCI,2024-02-29,Infrastructure Solutions,"Infrastructure Solutions consists of the equity in earnings of the Company's 40% investment in the AVAIL JV, as well as other expenses directly related to AIS receivables and liabilities that were retained following the divestiture of the AIS business.",1031001002
PEOTNJNBCI,2024-02-29,Metal Coatings,"Metal Coatings segment provides hot-dip galvanizing, spin galvanizing, powder coating, anodizing and plating, and other metal coating applications to the steel fabrication industry and other industries through facilities located throughout the United States and Canada. Hot-dip galvanizing is a metallurgical manufacturing process in which molten zinc reacts with steel. The zinc alloying provides corrosion protection and extends the lifecycle of fabricated steel for several decades.",3102001099
PEOTNJNBCI,2024-02-29,Precoat Metals,"Precoat Metals segment engages in the advanced application of protective and decorative coatings and related value-added manufacturing for steel and aluminum coil primarily serving the construction; appliance; heating, ventilation and air conditioning (HVAC); container; transportation and other end markets.",3102001099
FCR24D4FL3,2024-12-31,Banking,"Banking operations include operations in the retail, middle-market and corporate sectors, lease, international bank operations, investment bank operations and as a private bank. The Company also conducts banking segment operations through its branches located throughout the country, in branches abroad and through subsidiaries as well as by means of shareholding interests in other companies.",1032002002
FCR24D4FL3,2024-12-31,"Insurance, pension and capitalization bonds","Insurance, pension and capitalization bonds segment consists of insurance operations, Pension Plans, and capitalization plans which are undertaken through a subsidiary, Bradesco Seguros S.A., and its subsidiaries.",1034006001
